Date,Close
13-01-2023,18.35
17-01-2023,19.36
18-01-2023,20.34
19-01-2023,20.52
20-01-2023,19.85
23-01-2023,19.81
24-01-2023,19.2
25-01-2023,19.08
26-01-2023,18.73
27-01-2023,18.51
30-01-2023,19.94
31-01-2023,19.4
01-02-2023,17.87
02-02-2023,18.73
03-02-2023,18.33
06-02-2023,19.43
07-02-2023,18.66
08-02-2023,19.63
09-02-2023,20.71
10-02-2023,20.53
13-02-2023,20.34
14-02-2023,18.91
15-02-2023,18.23
16-02-2023,20.17
17-02-2023,20.02
21-02-2023,22.87
22-02-2023,22.29
23-02-2023,21.14
24-02-2023,21.67
27-02-2023,20.95
28-02-2023,20.7
01-03-2023,20.58
02-03-2023,19.59
03-03-2023,18.49
06-03-2023,18.61
07-03-2023,19.59
08-03-2023,19.11
09-03-2023,22.61
10-03-2023,24.8
13-03-2023,26.52
14-03-2023,23.73
15-03-2023,26.14
16-03-2023,22.99
17-03-2023,25.51
20-03-2023,24.15
21-03-2023,21.38
22-03-2023,22.26
23-03-2023,22.61
24-03-2023,21.74
27-03-2023,20.6
28-03-2023,19.97
29-03-2023,19.12
30-03-2023,19.02
31-03-2023,18.7
03-04-2023,18.55
04-04-2023,19
05-04-2023,19.08
06-04-2023,18.4
10-04-2023,18.97
11-04-2023,19.1
12-04-2023,19.09
13-04-2023,17.8
14-04-2023,17.07
17-04-2023,16.95
18-04-2023,16.83
19-04-2023,16.46
20-04-2023,17.17
21-04-2023,16.77
24-04-2023,16.89
25-04-2023,18.76
26-04-2023,18.84
27-04-2023,17.03
28-04-2023,15.78
01-05-2023,16.08
02-05-2023,17.78
03-05-2023,18.34
04-05-2023,20.09
05-05-2023,17.19
08-05-2023,16.98
09-05-2023,17.71
10-05-2023,16.94
11-05-2023,16.93
12-05-2023,17.03
15-05-2023,17.12
16-05-2023,17.99
17-05-2023,16.87
18-05-2023,16.05
19-05-2023,16.81
22-05-2023,17.21
23-05-2023,18.53
24-05-2023,20.03
25-05-2023,19.14
26-05-2023,17.95
30-05-2023,17.46
31-05-2023,17.94
01-06-2023,15.65
02-06-2023,14.6
05-06-2023,14.73
06-06-2023,13.96
07-06-2023,13.94
08-06-2023,13.65
09-06-2023,13.83
12-06-2023,15.01
13-06-2023,14.61
14-06-2023,13.88
15-06-2023,14.5
16-06-2023,13.54
20-06-2023,13.88
21-06-2023,13.2
22-06-2023,12.91
23-06-2023,13.44
26-06-2023,14.25
27-06-2023,13.74
28-06-2023,13.43
29-06-2023,13.54
30-06-2023,13.59
03-07-2023,13.57
05-07-2023,14.18
06-07-2023,15.44
07-07-2023,14.83
10-07-2023,15.07
11-07-2023,14.84
12-07-2023,13.54
13-07-2023,13.61
14-07-2023,13.34
17-07-2023,13.48
18-07-2023,13.3
19-07-2023,13.76
20-07-2023,13.99
21-07-2023,13.6
24-07-2023,13.91
25-07-2023,13.86
26-07-2023,13.19
27-07-2023,14.41
28-07-2023,13.33
31-07-2023,13.63
01-08-2023,13.93
02-08-2023,16.09
03-08-2023,15.92
04-08-2023,17.1
07-08-2023,15.77
08-08-2023,15.99
09-08-2023,15.96
10-08-2023,15.85
11-08-2023,14.84
14-08-2023,14.82
15-08-2023,16.46
16-08-2023,16.78
17-08-2023,17.89
18-08-2023,17.3
21-08-2023,17.13
22-08-2023,16.97
23-08-2023,15.98
24-08-2023,17.2
25-08-2023,15.68
28-08-2023,15.08
29-08-2023,14.45
30-08-2023,13.88
31-08-2023,13.57
01-09-2023,13.09
05-09-2023,14.01
06-09-2023,14.45
07-09-2023,14.4
08-09-2023,13.84
11-09-2023,13.8
12-09-2023,14.23
13-09-2023,13.48
14-09-2023,12.82
15-09-2023,13.79
18-09-2023,14
19-09-2023,14.11
20-09-2023,15.14
21-09-2023,17.54
22-09-2023,17.2
25-09-2023,16.9
26-09-2023,18.94
27-09-2023,18.22
28-09-2023,17.34
29-09-2023,17.52
02-10-2023,17.61
03-10-2023,19.78
04-10-2023,18.58
05-10-2023,18.49
06-10-2023,17.45
09-10-2023,17.7
10-10-2023,17.03
11-10-2023,16.09
12-10-2023,16.69
13-10-2023,19.32
16-10-2023,17.21
17-10-2023,17.88
18-10-2023,19.22
19-10-2023,21.4
20-10-2023,21.71
23-10-2023,20.37
24-10-2023,18.97
25-10-2023,20.19
26-10-2023,20.68
27-10-2023,21.27
30-10-2023,19.75
31-10-2023,18.14
01-11-2023,16.87
02-11-2023,15.66
03-11-2023,14.91
06-11-2023,14.89
07-11-2023,14.81
08-11-2023,14.45
09-11-2023,15.29
10-11-2023,14.17
13-11-2023,14.76
14-11-2023,14.16
15-11-2023,14.18
16-11-2023,14.32
17-11-2023,13.8
20-11-2023,13.41
21-11-2023,13.35
22-11-2023,12.85
24-11-2023,12.46
27-11-2023,12.69
28-11-2023,12.69
29-11-2023,12.98
30-11-2023,12.92
01-12-2023,12.63
04-12-2023,13.08
05-12-2023,12.85
06-12-2023,12.97
07-12-2023,13.06
08-12-2023,12.35
11-12-2023,12.63
12-12-2023,12.07
13-12-2023,12.19
14-12-2023,12.48
15-12-2023,12.28
18-12-2023,12.56
19-12-2023,12.53
20-12-2023,13.67
21-12-2023,13.65
22-12-2023,13.03
26-12-2023,12.99
27-12-2023,12.43
28-12-2023,12.47
29-12-2023,12.45
02-01-2024,13.2
03-01-2024,14.04
04-01-2024,14.13
05-01-2024,13.35
08-01-2024,13.08
09-01-2024,12.76
10-01-2024,12.69
11-01-2024,12.44
